         13501280 function calls (13282499 primitive calls) in 24.649 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      789    0.003    0.000    0.022    0.000 _arrange.py:105(_arrange_dock_widgets)
       76    0.000    0.000    0.021    0.000 message_pump.py:801(on_callback)
    10552    0.005    0.000    0.021    0.000 segment.py:197(<genexpr>)
     5494    0.005    0.000    0.021    0.000 _layout.py:49(total_region)
    10447    0.004    0.000    0.021    0.000 _eventloop.py:154(get_async_backend)
      708    0.006    0.000    0.021    0.000 dom.py:169(__init__)
       12    0.001    0.000    0.021    0.002 grid.py:20(arrange)
     8919    0.005    0.000    0.021    0.000 base_events.py:783(call_soon)
  362/357    0.001    0.000    0.021    0.000 _base.py:537(set_result)
    15942    0.007    0.000    0.021    0.000 _style_properties.py:665(__get__)
     4227    0.001    0.000    0.021    0.000 control.py:187(strip_control_codes)
      545    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
    28899    0.018    0.000    0.020    0.000 color.py:388(__add__)
      386    0.001    0.000    0.020    0.000 render.py:8(measure)
      545    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
  562/532    0.001    0.000    0.020    0.000 base_events.py:836(call_soon_threadsafe)
      219    0.000    0.000    0.020    0.000 _models.py:763(json)
      488    0.001    0.000    0.020    0.000 _client.py:148(__aiter__)
    39080    0.020    0.000    0.020    0.000 strip.py:171(cell_length)
      220    0.002    0.000    0.020    0.000 _models.py:1181(__init__)
